정류소아이디,정류소명,경도,위도,위치정보(주변설명),데이터 기준일자
406000768,신흥2리 보건진료소,126.747946,33.3197,보건진료소 좌측(신흥1리 방향),2022-11-01
406000769,신흥2리 보건진료소,126.748095,33.319726,보건진료소 맞은편(조각물 앞),2022-11-01
406000771,신흥2리사무소,126.745363,33.321591,대륙기계 우측,2022-11-01
406000770,신흥2리사무소,126.745427,33.321735,대륙기계 맞은편,2022-11-01
406001468,신흥교,126.750914,33.313914,신흥교가기전,2022-11-01
406001467,신흥교,126.750913,33.314083,신흥교지나서,2022-11-01
406001013,신흥교차로,126.766992,33.300725,태흥3리 방향,2022-11-01
406001012,신흥교차로,126.766974,33.300424,신흥가든 좌측,2022-11-01
406000723,신흥농장,126.754373,33.311971,신흥1리 방향,2022-11-01
406000724,신흥농장,126.754727,33.311929,신흥2리 방향,2022-11-01
405001496,신흥동,126.26416,33.33863,성전동 방향,2022-11-01
405001271,신흥동,126.182378,33.340629,구한경의원 앞 방향,2022-11-01
405000978,신흥동,126.182065,33.340612,삼다바이오푸드공장 우측,2022-11-01
405002409,신흥리,126.653428,33.543829,,2022-11-01
405002408,신흥리,126.653012,33.544383,,2022-11-01
405002338,신흥리 복지회관,126.65216,33.546811,,2022-11-01
405002347,신흥리 복지회관,126.652002,33.546769,,2022-11-01
405002348,신흥리 포구,126.650802,33.548741,,2022-11-01
405000415," 신흥리(마을입구),함덕고등학교",126.653501,33.543415,정금추어탕 맞은편,2022-11-01
405000414," 신흥리(마을입구),함덕고등학교",126.653639,33.543606,함덕고등학교 앞,2022-11-01
406001011,신흥리취락구조,126.764908,33.298593,토산2리 방향,2022-11-01
406000707,신흥리취락구조,126.764821,33.298726,태흥3리 방향,2022-11-01
406001704,심향사,126.622085,33.294391,,2022-11-01
406000223,심향사,126.6224,33.295433,하례2리 방향,2022-11-01
406001703,심향사,126.621735,33.294565,,2022-11-01
406000245,심향사,126.622067,33.295467,신례초 방향,2022-11-01
405002419,쌍물통,126.170465,33.327766,,2022-11-01
405002420,쌍물통,126.170555,33.327704,,2022-11-01
406000029,씨 에스호텔,126.420333,33.24385,동춘써커스 측면도로,2022-11-01
406000030,씨 에스호텔,126.420317,33.243617,씨에스호텔,2022-11-01
406000997,씨사이드홈,126.72421,33.280524,애삐리바당 좌측(진은동 방향),2022-11-01
406000996,씨사이드홈,126.7232,33.28035,남원읍사무소 방향,2022-11-01
405000135,아라동주민센터,126.5449,33.4759,아라치과(초록마을 아라점),2022-11-01
405002242,아라뜨래별,126.554745,33.43729,,2022-11-01
405002241,아라뜨래별,126.554638,33.437287,,2022-11-01
405000127,아라주공아파트/아라스위첸아파트,126.545689,33.473079,아라LH아파트 109동,2022-11-01
405000128,아라주공아파트/아라스위첸아파트,126.545425,33.473655,제주시농협 아라지점 우측,2022-11-01
405002498,아라중학교,126.544614,33.486237,,2022-11-01
405002499,아라중학교,126.54474,33.486101,,2022-11-01
405000570,아라초등학교,126.544696,33.47748,개밥이여기있었네 맞은편,2022-11-01
405002199,아라초등학교,126.544525,33.477699,,2022-11-01
405000136,아라초등학교,126.544283,33.476533,아라초등학교 앞,2022-11-01
405000381,아르미아파트,126.594469,33.496037,(주)백두전력 우측(도련방향),2022-11-01
405000380,아르미아파트,126.594283,33.4961,(주)백두전력 반대편(대기고 방향),2022-11-01
405000055,아름마을아파트,126.428345,33.484127,아름마을아파트 앞(계명동방향),2022-11-01
405000054,아름마을아파트,126.429082,33.48398, 외도부영아파트 방향.디딤돌독서실 맞은편,2022-11-01
406001666,아미휴먼빌,126.5511,33.263212,,2022-11-01
406001665,아미휴먼빌,126.550944,33.263194,,2022-11-01
405002313,아부오름,126.780415,33.442832,,2022-11-01
405002312,아부오름,126.780453,33.443068,,2022-11-01
405002029,아부오름 주차장,126.781359,33.44653,,2022-11-01
405002028,아부오름 주차장,126.781119,33.446295,,2022-11-01
406000472,아시아CGI애니메이션센터,126.567617,33.25235, 서귀포갈비 맞은편.동문R 방향.서귀포평생학습센터 앞,2022-11-01
406000471,아시아CGI애니메이션센터,126.567818,33.252315,서귀포갈비 앞(남양맨션),2022-11-01
406000146,아이뜨락공원,126.553433,33.264117,백두자원 건너편 우측,2022-11-01
405001796,안국사,126.611192,33.468603,명도암마을회관 방향,2022-11-01
405001797,안국사,126.610881,33.468972,제주평화양로원 방향,2022-11-01
405000042,안남동,126.406622,33.482514,일진철물공구상사 앞(남주동 방향),2022-11-01
405000041,안남동,126.406163,33.482381,헤어리더 좌측,2022-11-01
406001498,안덕119센터,126.328899,33.250611,안덕119안전센터 앞,2022-11-01
406001499,안덕119센터,126.329885,33.25003,안덕119안전센터 맞은편,2022-11-01
406000514,안덕계곡,126.35336,33.258162,주차장 좌측 끝 앞,2022-11-01
406000601,안덕계곡,126.352383,33.257858,감산리서동 방향,2022-11-01
406001205,안덕면사무소,126.330035,33.257314,안덕면사무소 앞(서광동리 방향),2022-11-01
406001206,안덕면사무소,126.329675,33.257718,안덕면 관광안내도 앞(화순방향),2022-11-01
406000741,안덕초등학교,126.335881,33.249047,화순슈퍼 우측,2022-11-01
406000740,안덕초등학교,126.335413,33.249723,단독주택26호 앞,2022-11-01
406000743,안성리,126.281952,33.249394,탄산온천 방향,2022-11-01
406000969,안성리가스충전소,126.283699,33.251022,서광리 방향 승차대,2022-11-01
406000715,안성리사무소앞,126.281276,33.249335,인성리 방향,2022-11-01
406000968,안성리새동네,126.283469,33.250846,보성리 방향,2022-11-01
406000612,안좌동,126.755833,33.358367,,2022-11-01
406001661,안좌동 입구,126.759701,33.357747,,2022-11-01
405001448,알밤오름,126.712698,33.496783,대영목장간판 맞은편,2022-11-01
405001447,알밤오름,126.712808,33.496952,대영목장간판 우측,2022-11-01
405001597,알송당,126.787237,33.48375,송당방향(서)우순농원앞,2022-11-01
405001596,알송당,126.787352,33.483775,비자림 방향(동)교통표지판옆,2022-11-01
405000851,알진오름입구,126.784173,33.477243,송당5길 70 우측,2022-11-01
405000850,알진오름입구,126.784136,33.476912,,2022-11-01
405002375,알카름동산,126.581945,33.524472,,2022-11-01
405002374,알카름동산,126.58195,33.52463,,2022-11-01
406000426,앞거리,126.426545,33.257687,세흥농장빌리지 우측,2022-11-01
406000427,앞거리,126.4275,33.2582,세훈흑돼지 앞,2022-11-01
406002052,앞내,126.447398,33.262777,,2022-11-01
406002053,앞내,126.447933,33.262678,,2022-11-01
406000191,앞동산,126.61425,33.263767,GS25 앞,2022-11-01
406001637,앞동산,126.613944,33.264672,,2022-11-01
405001860,앞밭가름,126.401666,33.44273,유수암식당 우측,2022-11-01
405001861,앞밭가름,126.401666,33.442829,,2022-11-01
405002602,앞테역,126.830441,33.513798,,2022-11-01
405002601,앞테역,126.830655,33.513907,,2022-11-01
405001191,애월 119센터,126.348733,33.466244,제주시 애월읍 고내리,2022-11-01
405001194,애월고등학교,126.334567,33.462595,성실슈퍼 좌측,2022-11-01
405001195,애월고등학교,126.334615,33.462445,애월고 앞(고내리 방향),2022-11-01
405001200,애월리,126.320686,33.464392,애월기계세탁,2022-11-01
405001470,애월신협,126.320998,33.464162,세탁소 앞,2022-11-01
405001196,애월읍사무소,126.330349,33.462606,애월읍사무소 앞(애월고 방향),2022-11-01
405001197,애월읍사무소,126.329017,33.463083,제주감귤농협 애월지점 우측,2022-11-01
405001199,애월중학교,126.324159,33.463533,애월읍사무소 방향,2022-11-01
405001198,애월중학교,126.32401,33.463678,애월보건지소,2022-11-01
405001806,애월하나로마트,126.3213,33.460081,애월하나로마트 옆,2022-11-01
405001807,애월하나로마트,126.32112,33.460011,,2022-11-01
405002077,애월환승정류장(애월리),126.318698,33.464829,,2022-11-01
405001201,애월환승정류장(애월리),126.319833,33.464442,숙이네보리빵 앞,2022-11-01
405001695,애조로 광령1리입구,126.434167,33.472132,광령1리교차로(수산방향),2022-11-01
405001694,애조로 광령1리입구,126.435618,33.471372,광령1리교차로(제주방향),2022-11-01
406001179,약천사,126.450836,33.242896,약천사 입구 맞은편,2022-11-01
406001180,약천사,126.450337,33.243002,약천사 입구 좌측,2022-11-01
406001789,약천사(출발지),126.450615,33.243357,,2022-11-01
406000148,양가왓,126.555599,33.264209,한샘키친 우측,2022-11-01
405000935,양돈단지,126.3083,33.360283,신주소 158호 앞,2022-11-01
405000936,양돈단지,126.308769,33.359973,한림읍금악북로 161건물 앞,2022-11-01
406002029,양마단지,126.609195,33.300838,,2022-11-01
406002028,양마단지,126.609272,33.300917,,2022-11-01
406001758,양수동 입구,126.859586,33.438428,,2022-11-01
406001757,양수동 입구,126.858667,33.438539,,2022-11-01
405000952,양잠단지,126.702917,33.4588,조립식건물 앞,2022-11-01
405000148,양지(추모)공원,126.5764,33.438483,양지공원 입구(성판악 방향),2022-11-01
405000147,양지(추모)공원,126.576518,33.438649,제주시청 방향,2022-11-01
405000726,양천동,126.645624,33.523955,,2022-11-01
405000377,양천동,126.6455,33.523967,전봇대 앞,2022-11-01
405000376,양천동,126.645679,33.523723,제주오름교회이정표 앞,2022-11-01
405001425,양천상동,126.64855,33.515783,팽나무대합실 앞,2022-11-01
405000915,양천상동,126.64885,33.513883,조천리 방향 비닐하우스 앞,2022-11-01
405001424,양천상동,126.648633,33.51595,제주오름교회 우측,2022-11-01
